"session_key","meeting_key","driver_number","date","recording_url"
9465,1229,22,"2024-02-29T12:07:25.717000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_1/TeamRadio/YUKTSU01_22_20240229_120703.mp3"
9465,1229,1,"2024-02-29T12:08:00.825000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_1/TeamRadio/MAXVER01_1_20240229_120707.mp3"
9465,1229,3,"2024-02-29T12:08:00.825000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_1/TeamRadio/DANRIC01_3_20240229_120750.mp3"
9465,1229,55,"2024-02-29T12:09:07.921000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_1/TeamRadio/CARSAI01_55_20240229_120839.mp3"
9465,1229,16,"2024-02-29T12:12:31.579000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_1/TeamRadio/CHALEC01_16_20240229_121222.mp3"
9465,1229,4,"2024-02-29T12:17:02.579000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_1/TeamRadio/LANNOR01_4_20240229_121628.mp3"
9465,1229,31,"2024-02-29T12:17:02.579000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_1/TeamRadio/ESTOCO01_31_20240229_121616.mp3"
9465,1229,81,"2024-02-29T12:17:35.154000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_1/TeamRadio/OSCPIA01_81_20240229_121721.mp3"
9465,1229,23,"2024-02-29T12:18:09.103000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_1/TeamRadio/ALEALB01_23_20240229_121741.mp3"
9465,1229,44,"2024-02-29T12:19:50.578000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_1/TeamRadio/LEWHAM01_44_20240229_121936.mp3"
9465,1229,44,"2024-02-29T12:19:50.845000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_1/TeamRadio/LEWHAM01_44_20240229_121942.mp3"
9465,1229,3,"2024-02-29T12:20:58.529000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_1/TeamRadio/DANRIC01_3_20240229_122027.mp3"
9465,1229,22,"2024-02-29T12:21:33.425000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_1/TeamRadio/YUKTSU01_22_20240229_122053.mp3"
9465,1229,23,"2024-02-29T12:24:21.642000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_1/TeamRadio/ALEALB01_23_20240229_122417.mp3"
9465,1229,18,"2024-02-29T12:25:29.238000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_1/TeamRadio/LANSTR01_18_20240229_122451.mp3"
9465,1229,11,"2024-02-29T12:25:29.503000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_1/TeamRadio/SERPER01_11_20240229_122523.mp3"
9465,1229,22,"2024-02-29T12:27:44.793000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_1/TeamRadio/YUKTSU01_22_20240229_122719.mp3"
9465,1229,1,"2024-02-29T12:28:19.488000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_1/TeamRadio/MAXVER01_1_20240229_122800.mp3"
9465,1229,3,"2024-02-29T12:28:19.521000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_1/TeamRadio/DANRIC01_3_20240229_122809.mp3"
9465,1229,55,"2024-02-29T12:28:54.611000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_1/TeamRadio/CARSAI01_55_20240229_122843.mp3"
9465,1229,27,"2024-02-29T12:29:27.539000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_1/TeamRadio/NICHUL01_27_20240229_122923.mp3"
9465,1229,1,"2024-02-29T12:31:45.117000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_1/TeamRadio/MAXVER01_1_20240229_123110.mp3"
9465,1229,16,"2024-02-29T12:35:06.598000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_1/TeamRadio/CHALEC01_16_20240229_123433.mp3"
9466,1229,4,"2024-02-29T15:09:06.878000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_2/TeamRadio/LANNOR01_4_20240229_150830.mp3"
9466,1229,3,"2024-02-29T15:10:14.920000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_2/TeamRadio/DANRIC01_3_20240229_150953.mp3"
9466,1229,18,"2024-02-29T15:13:03.709000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_2/TeamRadio/LANSTR01_18_20240229_151230.mp3"
9466,1229,1,"2024-02-29T15:14:12.949000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_2/TeamRadio/MAXVER01_1_20240229_151357.mp3"
9466,1229,1,"2024-02-29T15:14:12.949000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_2/TeamRadio/MAXVER01_1_20240229_151403.mp3"
9466,1229,22,"2024-02-29T15:15:19.256000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_2/TeamRadio/YUKTSU01_22_20240229_151456.mp3"
9466,1229,23,"2024-02-29T15:17:00.736000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_2/TeamRadio/ALEALB01_23_20240229_151629.mp3"
9466,1229,23,"2024-02-29T15:18:43.762000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_2/TeamRadio/ALEALB01_23_20240229_151827.mp3"
9466,1229,2,"2024-02-29T15:19:16.007000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_2/TeamRadio/LOGSAR01_2_20240229_151845.mp3"
9466,1229,1,"2024-02-29T15:19:16.199000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_2/TeamRadio/MAXVER01_1_20240229_151847.mp3"
9466,1229,23,"2024-02-29T15:20:59.175000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_2/TeamRadio/ALEALB01_23_20240229_152023.mp3"
9466,1229,2,"2024-02-29T15:22:06.376000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_2/TeamRadio/LOGSAR01_2_20240229_152147.mp3"
9466,1229,4,"2024-02-29T15:23:49.765000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_2/TeamRadio/LANNOR01_4_20240229_152312.mp3"
9466,1229,2,"2024-02-29T15:25:30.124000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_2/TeamRadio/LOGSAR01_2_20240229_152513.mp3"
9466,1229,16,"2024-02-29T15:26:36.618000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_2/TeamRadio/CHALEC01_16_20240229_152558.mp3"
9466,1229,55,"2024-02-29T15:27:11.005000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_2/TeamRadio/CARSAI01_55_20240229_152653.mp3"
9466,1229,3,"2024-02-29T15:28:20.686000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_2/TeamRadio/DANRIC01_3_20240229_152735.mp3"
9466,1229,55,"2024-02-29T15:28:52.258000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_2/TeamRadio/CARSAI01_55_20240229_152833.mp3"
9466,1229,31,"2024-02-29T15:28:52.676000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_2/TeamRadio/ESTOCO01_31_20240229_152834.mp3"
9466,1229,31,"2024-02-29T15:28:52.676000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_2/TeamRadio/ESTOCO01_31_20240229_152840.mp3"
9466,1229,55,"2024-02-29T15:28:53.002000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_2/TeamRadio/CARSAI01_55_20240229_152841.mp3"
9466,1229,55,"2024-02-29T15:28:53.018000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_2/TeamRadio/CARSAI01_55_20240229_152844.mp3"
9466,1229,55,"2024-02-29T15:29:27.887000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_2/TeamRadio/CARSAI01_55_20240229_152849.mp3"
9466,1229,55,"2024-02-29T15:29:28.185000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_2/TeamRadio/CARSAI01_55_20240229_152857.mp3"
9466,1229,16,"2024-02-29T15:30:36.304000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_2/TeamRadio/CHALEC01_16_20240229_153011.mp3"
9466,1229,3,"2024-02-29T15:32:17.727000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_2/TeamRadio/DANRIC01_3_20240229_153209.mp3"
9466,1229,3,"2024-02-29T15:32:51.819000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_2/TeamRadio/DANRIC01_3_20240229_153218.mp3"
9466,1229,22,"2024-02-29T15:33:26.820000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_2/TeamRadio/YUKTSU01_22_20240229_153304.mp3"
9466,1229,16,"2024-02-29T15:34:33.496000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_2/TeamRadio/CHALEC01_16_20240229_153356.mp3"
9466,1229,31,"2024-02-29T15:35:42.204000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_2/TeamRadio/ESTOCO01_31_20240229_153525.mp3"
9466,1229,2,"2024-02-29T15:36:49.009000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_2/TeamRadio/LOGSAR01_2_20240229_153614.mp3"
9466,1229,11,"2024-02-29T15:37:23.164000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_2/TeamRadio/SERPER01_11_20240229_153706.mp3"
9466,1229,11,"2024-02-29T15:37:23.164000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_2/TeamRadio/SERPER01_11_20240229_153710.mp3"
