"date","driver_number","session_key","meeting_key","recording_url"
"2023-03-03T15:32:43.862000+00:00",63,7766,1141,"https://livetiming.formula1.com/static/2023/2023-03-05_Bahrain_Grand_Prix/2023-03-03_Practice_2/TeamRadio/GEORUS01_63_20230303_153221.mp3"
"2023-03-03T15:38:49.983000+00:00",27,7766,1141,"https://livetiming.formula1.com/static/2023/2023-03-05_Bahrain_Grand_Prix/2023-03-03_Practice_2/TeamRadio/NICHUL01_27_20230303_153845.mp3"
"2023-03-03T15:41:35.434000+00:00",23,7766,1141,"https://livetiming.formula1.com/static/2023/2023-03-05_Bahrain_Grand_Prix/2023-03-03_Practice_2/TeamRadio/ALEALB01_23_20230303_154119.mp3"
"2023-03-03T15:50:59.677000+00:00",11,7766,1141,"https://livetiming.formula1.com/static/2023/2023-03-05_Bahrain_Grand_Prix/2023-03-03_Practice_2/TeamRadio/SERPER01_11_20230303_154320.mp3"
"2023-03-03T15:50:59.849000+00:00",2,7766,1141,"https://livetiming.formula1.com/static/2023/2023-03-05_Bahrain_Grand_Prix/2023-03-03_Practice_2/TeamRadio/LOGSAR01_2_20230303_155032.mp3"
"2023-03-03T15:53:13.176000+00:00",18,7766,1141,"https://livetiming.formula1.com/static/2023/2023-03-05_Bahrain_Grand_Prix/2023-03-03_Practice_2/TeamRadio/LANSTR01_18_20230303_155227.mp3"
"2023-03-03T15:58:12.876000+00:00",2,7766,1141,"https://livetiming.formula1.com/static/2023/2023-03-05_Bahrain_Grand_Prix/2023-03-03_Practice_2/TeamRadio/LOGSAR01_2_20230303_155740.mp3"
"2023-03-03T15:58:13.141000+00:00",44,7766,1141,"https://livetiming.formula1.com/static/2023/2023-03-05_Bahrain_Grand_Prix/2023-03-03_Practice_2/TeamRadio/LEWHAM01_44_20230303_155814.mp3"
"2023-03-03T15:58:47.922000+00:00",16,7766,1141,"https://livetiming.formula1.com/static/2023/2023-03-05_Bahrain_Grand_Prix/2023-03-03_Practice_2/TeamRadio/CHALEC01_16_20230303_155840.mp3"
"2023-03-03T15:59:20.253000+00:00",10,7766,1141,"https://livetiming.formula1.com/static/2023/2023-03-05_Bahrain_Grand_Prix/2023-03-03_Practice_2/TeamRadio/PIEGAS01_10_20230303_155853.mp3"
