"meeting_key","session_key","stint_number","driver_number","lap_start","lap_end","compound","tyre_age_at_start"
1229,9465,1,23,1,1,"MEDIUM",0
1229,9465,1,14,1,2,"MEDIUM",0
1229,9465,1,24,1,2,"MEDIUM",0
1229,9465,1,77,1,2,"MEDIUM",0
1229,9465,1,1,1,4,"MEDIUM",0
1229,9465,1,11,1,4,"MEDIUM",0
1229,9465,1,44,1,5,"MEDIUM",0
1229,9465,1,27,1,6,"MEDIUM",0
1229,9465,1,55,1,6,"MEDIUM",0
1229,9465,1,16,1,7,"MEDIUM",0
1229,9465,1,81,1,7,"MEDIUM",0
1229,9465,1,4,1,8,"MEDIUM",0
1229,9465,1,10,1,8,"MEDIUM",0
1229,9465,1,18,1,8,"MEDIUM",0
1229,9465,1,20,1,8,"MEDIUM",0
1229,9465,1,31,1,8,"MEDIUM",0
1229,9465,1,2,1,9,"MEDIUM",0
1229,9465,1,22,1,10,"MEDIUM",0
1229,9465,1,63,1,10,"MEDIUM",0
1229,9465,1,3,1,11,"MEDIUM",0
1229,9465,2,23,2,2,"MEDIUM",0
1229,9465,2,14,3,8,"MEDIUM",1
1229,9465,2,24,3,8,"MEDIUM",1
1229,9465,2,77,3,9,"MEDIUM",1
1229,9465,3,23,3,10,"MEDIUM",1
1229,9465,2,1,5,7,"MEDIUM",0
1229,9465,2,11,5,10,"MEDIUM",3
1229,9465,2,44,6,8,"MEDIUM",0
1229,9465,2,55,7,10,"MEDIUM",5
1229,9465,2,27,7,11,"MEDIUM",5
1229,9465,2,16,8,10,"MEDIUM",6
1229,9465,2,81,8,12,"SOFT",0
1229,9465,3,1,8,13,"MEDIUM",0
1229,9465,2,10,9,9,"MEDIUM",7
1229,9465,2,20,9,9,"MEDIUM",7
1229,9465,2,31,9,9,"MEDIUM",7
1229,9465,2,4,9,10,"MEDIUM",7
1229,9465,3,24,9,11,"SOFT",0
1229,9465,3,44,9,11,"MEDIUM",0
1229,9465,3,14,9,12,"MEDIUM",7
1229,9465,2,18,9,12,"MEDIUM",7
1229,9465,3,77,10,10,"MEDIUM",0
1229,9465,3,31,10,15,"MEDIUM",0
1229,9465,3,10,10,16,"MEDIUM",0
1229,9465,2,2,10,17,"MEDIUM",0
1229,9465,3,20,10,26,"MEDIUM",0
1229,9465,3,55,11,12,"MEDIUM",9
1229,9465,3,11,11,13,"MEDIUM",0
1229,9465,3,4,11,15,"SOFT",0
1229,9465,3,16,11,16,"MEDIUM",0
1229,9465,2,22,11,16,"SOFT",0
1229,9465,2,63,11,16,"MEDIUM",0
1229,9465,4,77,11,16,"SOFT",0
1229,9465,4,23,11,18,"MEDIUM",0
1229,9465,2,3,12,14,"SOFT",0
1229,9465,4,24,12,14,"SOFT",0
1229,9465,4,44,12,20,"MEDIUM",3
1229,9465,3,27,12,25,"MEDIUM",0
1229,9465,4,55,13,18,"MEDIUM",0
1229,9465,4,14,13,21,"MEDIUM",0
1229,9465,3,18,13,21,"MEDIUM",0
1229,9465,3,81,13,26,"MEDIUM",6
1229,9465,4,11,14,16,"MEDIUM",0
1229,9465,4,1,14,22,"MEDIUM",6
1229,9465,3,3,15,15,"SOFT",3
1229,9465,5,24,15,17,"SOFT",6
1229,9465,4,31,16,22,"MEDIUM",6
1229,9465,4,3,16,24,"SOFT",4
1229,9465,4,4,16,26,"SOFT",5
1229,9465,5,77,17,22,"SOFT",0
1229,9465,4,10,17,25,"MEDIUM",7
1229,9465,5,11,17,25,"MEDIUM",6
1229,9465,4,16,17,25,"MEDIUM",6
1229,9465,3,22,17,25,"SOFT",6
1229,9465,3,63,17,26,"MEDIUM",6
1229,9465,3,2,18,20,"MEDIUM",0
1229,9465,5,55,19,27,"MEDIUM",0
1229,9465,5,44,21,23,"MEDIUM",7
1229,9465,4,27,26,28,"MEDIUM",14
1229,9466,1,11,1,4,"SOFT",0
1229,9466,1,16,1,4,"SOFT",0
1229,9466,1,23,1,4,"MEDIUM",0
1229,9466,1,44,1,4,"SOFT",0
1229,9466,1,55,1,4,"SOFT",0
1229,9466,1,77,1,4,"MEDIUM",0
1229,9466,1,14,1,5,"SOFT",0
1229,9466,1,2,1,6,"MEDIUM",0
1229,9466,1,3,1,6,"MEDIUM",0
1229,9466,1,4,1,6,"MEDIUM",0
1229,9466,1,63,1,6,"SOFT",0
1229,9466,1,1,1,7,"SOFT",0
1229,9466,1,10,1,7,"SOFT",0
1229,9466,1,20,1,7,"SOFT",0
1229,9466,1,24,1,7,"MEDIUM",0
1229,9466,1,27,1,7,"SOFT",0
1229,9466,1,31,1,7,"SOFT",0
1229,9466,1,81,1,7,"MEDIUM",0
1229,9466,1,18,1,9,"SOFT",0
1229,9466,1,22,1,9,"MEDIUM",0
