raceId,year,round,circuitId,date,time
1134,2024,14,13,2024-07-28,13:00:00
1135,2024,15,39,2024-08-25,13:00:00
1136,2024,16,14,2024-09-01,13:00:00
1137,2024,17,73,2024-09-15,11:00:00
1138,2024,18,15,2024-09-22,12:00:00
1139,2024,19,69,2024-10-20,19:00:00
1140,2024,20,32,2024-10-27,20:00:00
1141,2024,21,18,2024-11-03,17:00:00
1142,2024,22,80,2024-11-23,06:00:00
1143,2024,23,78,2024-12-01,17:00:00
1144,2024,24,24,2024-12-08,13:00:00
